label,class,imgs_path
0.txt,1,datasets/obj/0.jpg
000305928f7b43da.txt,0,datasets/obj/000305928f7b43da.jpg
0016f8c09384627e.txt,1,datasets/obj/0016f8c09384627e.jpg
0045a7e07dd4fa0e.txt,0,datasets/obj/0045a7e07dd4fa0e.jpg
004dec94c5de631f.txt,1,datasets/obj/004dec94c5de631f.jpg
004eb6ca27183afe.txt,0,datasets/obj/004eb6ca27183afe.jpg
0065a51ab60e59fe.txt,0,datasets/obj/0065a51ab60e59fe.jpg
006fb86aed487201.txt,0,datasets/obj/006fb86aed487201.jpg
00980a5f319aec67.txt,1,datasets/obj/00980a5f319aec67.jpg
00c3cfc7c51ff6fe.txt,1,datasets/obj/00c3cfc7c51ff6fe.jpg
00c47fd544a835eb.txt,1,datasets/obj/00c47fd544a835eb.jpg
00d1e939c70f17f0.txt,0,datasets/obj/00d1e939c70f17f0.jpg
00f7f7cb6aa899f1.txt,1,datasets/obj/00f7f7cb6aa899f1.jpg
010000001.txt,2,datasets/obj/010000001.jpg
010000003.txt,2,datasets/obj/010000003.jpg
010000011.txt,2,datasets/obj/010000011.jpg
010000014.txt,2,datasets/obj/010000014.jpg
010000018.txt,2,datasets/obj/010000018.jpg
010000020.txt,2,datasets/obj/010000020.jpg
010000022.txt,2,datasets/obj/010000022.jpg
010000028.txt,2,datasets/obj/010000028.jpg
010000030.txt,2,datasets/obj/010000030.jpg
010000031.txt,2,datasets/obj/010000031.jpg
010000034.txt,2,datasets/obj/010000034.jpg
010000038.txt,2,datasets/obj/010000038.jpg
010000039.txt,2,datasets/obj/010000039.jpg
010000040.txt,2,datasets/obj/010000040.jpg
010000041.txt,2,datasets/obj/010000041.jpg
010000051.txt,2,datasets/obj/010000051.jpg
010000052.txt,2,datasets/obj/010000052.jpg
010000055.txt,2,datasets/obj/010000055.jpg
010000059.txt,2,datasets/obj/010000059.jpg
010000062.txt,2,datasets/obj/010000062.jpg
010000066.txt,2,datasets/obj/010000066.jpg
010000071.txt,2,datasets/obj/010000071.jpg
010000072.txt,2,datasets/obj/010000072.jpg
010000075.txt,2,datasets/obj/010000075.jpg
010000076.txt,2,datasets/obj/010000076.jpg
010000078.txt,2,datasets/obj/010000078.jpg
010000079.txt,2,datasets/obj/010000079.jpg
010000083.txt,2,datasets/obj/010000083.jpg
010000084.txt,2,datasets/obj/010000084.jpg
010000086.txt,2,datasets/obj/010000086.jpg
010000088.txt,2,datasets/obj/010000088.jpg
010000092.txt,2,datasets/obj/010000092.jpg
010000096.txt,2,datasets/obj/010000096.jpg
010000097.txt,2,datasets/obj/010000097.jpg
010000098.txt,2,datasets/obj/010000098.jpg
010000099.txt,2,datasets/obj/010000099.jpg
010000101.txt,2,datasets/obj/010000101.jpg
010000102.txt,2,datasets/obj/010000102.jpg
010000111.txt,2,datasets/obj/010000111.jpg
010000112.txt,2,datasets/obj/010000112.jpg
010000113.txt,2,datasets/obj/010000113.jpg
010000120.txt,2,datasets/obj/010000120.jpg
010000121.txt,2,datasets/obj/010000121.jpg
010000122.txt,2,datasets/obj/010000122.jpg
010000124.txt,2,datasets/obj/010000124.jpg
010000125.txt,2,datasets/obj/010000125.jpg
010000127.txt,2,datasets/obj/010000127.jpg
010000130.txt,2,datasets/obj/010000130.jpg
010000137.txt,2,datasets/obj/010000137.jpg
010000138.txt,2,datasets/obj/010000138.jpg
010000144.txt,2,datasets/obj/010000144.jpg
010000147.txt,2,datasets/obj/010000147.jpg
010000151.txt,2,datasets/obj/010000151.jpg
010000152.txt,2,datasets/obj/010000152.jpg
010000157.txt,2,datasets/obj/010000157.jpg
010000163.txt,2,datasets/obj/010000163.jpg
010000169.txt,2,datasets/obj/010000169.jpg
010000172.txt,2,datasets/obj/010000172.jpg
010000174.txt,2,datasets/obj/010000174.jpg
010000175.txt,2,datasets/obj/010000175.jpg
010000176.txt,2,datasets/obj/010000176.jpg
